,link,legislatura,date,type
54,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_055.PDF,III,1987-06-17,diaro de sesiones
55,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_056.PDF,III,1987-06-25,diaro de sesiones
56,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_057.PDF,III,1987-06-26,diaro de sesiones
57,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_058.PDF,III,1987-07-16,diaro de sesiones
58,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_059.PDF,III,1987-07-21,diaro de sesiones
59,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_060.PDF,III,1987-09-16,diaro de sesiones
60,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_061.PDF,III,1987-09-17,diaro de sesiones
61,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_062.PDF,III,1987-09-23,diaro de sesiones
62,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_063.PDF,III,1987-09-24,diaro de sesiones
63,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_064.PDF,III,1987-09-30,diaro de sesiones
64,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_065.PDF,III,1987-10-01,diaro de sesiones
65,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_066.PDF,III,1987-10-14,diaro de sesiones
66,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_067.PDF,III,1987-10-15,diaro de sesiones
67,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_068.PDF,III,1987-10-26,diaro de sesiones
68,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_069.PDF,III,1987-10-27,diaro de sesiones
69,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_070.PDF,III,1987-11-17,diaro de sesiones
70,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_071.PDF,III,1987-11-18,diaro de sesiones
71,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_072.PDF,III,1987-11-19,diaro de sesiones
72,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_073.PDF,III,1987-11-23,diaro de sesiones
73,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_074.PDF,III,1987-11-24,diaro de sesiones
74,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_075.PDF,III,1987-11-25,diaro de sesiones
75,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_076.PDF,III,1987-12-09,diaro de sesiones
76,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_077.PDF,III,1987-12-10,diaro de sesiones
77,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_078.PDF,III,1987-12-16,diaro de sesiones
78,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_079.PDF,III,1987-12-17,diaro de sesiones
79,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_080.PDF,III,1987-12-17,diaro de sesiones
80,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_081.PDF,III,1987-12-22,diaro de sesiones
81,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_082.PDF,III,1988-02-09,diaro de sesiones
82,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_083.PDF,III,1988-02-10,diaro de sesiones
83,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_084.PDF,III,1988-02-11,diaro de sesiones
84,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_085.PDF,III,1988-02-16,diaro de sesiones
85,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_086.PDF,III,1988-02-17,diaro de sesiones
